;Date;Kick-Off Time;Day;Home;Home Goals;Away;Away Goals;STADIUM;COMPETITION;Season;Attendance;Result;Latitude;Longitude;Viewership
183;2023/08/20;15:00:00;Sunday;TS Galaxy;1;Kaizer Chiefs;0;Mbombela Stadium;DSTV Premiership;2023/2024;34520;Loss;-25,4617;30,9297;921800
184;2023/08/26;17:30:00;Saturday;Kaizer Chiefs;3;Amazulu;0;FNB Stadium;DSTV Premiership;2023/2024;8006;Win;-26,2348;27,9827;802503
185;2023/08/30;19:30:00;Wednesday;Stellenbosch;0;Kaizer Chiefs;2;Athlone Stadium;DSTV Premiership;2023/2024;6062;Win;-33,9616;18,5174;
186;2023-09-02 00:00:00;;Saturday;Kaizer Chiefs;1;Mamelodi Sundowns;1;FNB Stadium;MTN 8;2023/2024;49375;Draw;-26,2348;27,9827;
187;2023/09/16;17:30:00;Saturday;Kaizer Chiefs;0;Royal AM;0;FNB Stadium;DSTV Premiership;2023/2024;7718;Draw;-26,2348;27,9827;921139
188;2023/09/20;19:30:00;Wednesday;SuperSport United;1;Kaizer Chiefs;0;Lucas Masterpieces Moripe Stadium;DSTV Premiership;2023/2024;10748;Loss;-25,4633;28,4223;483263
189;2023-09-23 00:00:00;;Saturday;Mamelodi Sundowns;2;Kaizer Chiefs;1;Lucas Masterpieces Moripe Stadium;MTN 8;2023/2024;22000;Loss;-25,4633;28,4223;
190;2023/09/27;19:30:00;Wednesday;Kaizer Chiefs;2;Sekhukhune United;1;Moses Mabhida Stadium;DSTV Premiership;2023/2024;14240;Win;-29,8291;31,0304;864434
191;2023/10/03;19:30:00;Tuesday;Kaizer Chiefs;0;Cape Town City;1;FNB Stadium;DSTV Premiership;2023/2024;8328;Loss;-26,2348;27,9827;868928
192;2023-10-21 00:00:00;;Saturday;Kaizer Chiefs;;Amazulu;;FNB Stadium;Carling Cup;2023/2024;9444;Loss;-26,2348;27,9827;
193;2023/10/28;15:30:00;Saturday;Golden Arrows;2;Kaizer Chiefs;1;Mpumalanga Town Stadium;DSTV Premiership;2023/2024;5280;Loss;-29,8089;30,627;2143179
194;2023/11/08;19:30:00;Wednesday;Kaizer Chiefs;3;Cape Town Spurs;2;FNB Stadium;DSTV Premiership;2023/2024;0;Win;-26,2348;27,9827;
195;2023/11/11;15:30:00;Saturday;Kaizer Chiefs;0;Orlando Pirates;1;FNB Stadium;DSTV Premiership;2023/2024;87445;Loss;-26,2348;27,9827;7467434
196;2023/11/26;15:30:00;Sunday;Moroka Swallows;0;Kaizer Chiefs;1;Volkswagen Dobsoonville Stadium;DSTV Premiership;2023/2024;8125;Win;-26,2268;27,8632;662785
197;2023/12/09;15:30:00;Saturday;Polokwane City;0;Kaizer Chiefs;1;Peter Mokaba Stadium;DSTV Premiership;2023/2024;13672;Win;-23,9248;29,4688;3769239
198;2023/12/23;15:30:00;Saturday;Kaizer Chiefs;1;Richards Bay;0;FNB Stadium;DSTV Premiership;2023/2024;15000;Win;-26,2348;27,9827;1686107
199;2023/12/30;20:00:00;Saturday;Sekhukhune United;1;Kaizer Chiefs;1;Peter Mokaba Stadium;DSTV Premiership;2023/2024;14722;Draw;-23,9248;29,4688;829463
200;2024/02/18;15:30:00;Sunday;Royal AM;0;Kaizer Chiefs;0;Harry Gwala Stadium;DSTV Premiership;2023/2024;7869;Draw;-29,6185;30,3861;778095
201;2024-02-25 00:00:00;;Sunday;Kaizer Chiefs;0;Milford FC;0;FNB Stadium;Nedbank Cup;2023/2024;4347;Draw;-26,2348;27,9827;
202;2024/03/02;17:30:00;Saturday;Kaizer Chiefs;0;Moroka Swallows;0;FNB Stadium;DSTV Premiership;2023/2024;8116;Draw;-26,2348;27,9827;994479
203;2024/03/05;19:30:00;Tuesday;Kaizer Chiefs;1;Golden Arrows;0;FNB Stadium;DSTV Premiership;2023/2024;2621;Win;-26,2348;27,9827;547792
204;2024/03/09;15:30:00;Saturday;Orlando Pirates;3;Kaizer Chiefs;2;Orlando Stadium;DSTV Premiership;2023/2024;79285;Loss;-26,2319;27,9229;6920656
205;2024/03/30;15:30:00;Saturday;Cape Town City;0;Kaizer Chiefs;0;Athlone Stadium;DSTV Premiership;2023/2024;22500;Draw;-33,9616;18,4111;3062518
206;2024/04/02;19:30:00;Tuesday;Kaizer Chiefs;0;Stellenbosch;1;FNB Stadium;DSTV Premiership;2023/2024;2210;Loss;-26,2348;27,9827;563540
207;2024/04/06;15:00:00;Saturday;Chippa United;2;Kaizer Chiefs;0;Buffalo City Stadium;DSTV Premiership;2023/2024;9327;Loss;-33,9379;25,5992;1539156
208;2024/04/21;15:00:00;Sunday;Richards Bay;1;Kaizer Chiefs;0;King Goodwill Zwelithini Stadium;DSTV Premiership;2023/2024;3124;Loss;-29,9702;30,8971;781723
209;2024/04/27;17:30:00;Saturday;Kaizer Chiefs;2;SuperSport United;1;Peter Mokaba Stadium;DSTV Premiership;2023/2024;12051;Win;-23,9248;29,4688;763763
210;2024/05/02;19:30:00;Thursday;Kaizer Chiefs;1;Mamelodi Sundowns;5;FNB Stadium;DSTV Premiership;2023/2024;27300;Loss;-26,2348;27,9827;2110936
211;2024/05/07;19:30:00;Tuesday;Kaizer Chiefs;2;TS Galaxy;2;Peter Mokaba Stadium;DSTV Premiership;2023/2024;5441;Draw;-23,9248;29,4688;587529
212;2024/05/12;17:30:00;Sunday;Amazulu;1;Kaizer Chiefs;1;Moses Mabhida Stadium;DSTV Premiership;2023/2024;15441;Draw;-29,8291;31,0304;939305
213;2024/05/18;15:00:00;Saturday;Kaizer Chiefs;0;Polokwane City;0;FNB Stadium;DSTV Premiership;2023/2024;9055;Draw;-26,2348;27,9827;347279
214;2024/05/25;15:00:00;Saturday;Cape Town Spurs;2;Kaizer Chiefs;0;DHL Stadium;DSTV Premiership;2023/2024;10522;Loss;-33,9036;18,4111;198361
